danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_genre,key,mode,release_month,binary_outcome,bin_year
0.6491007009215367,1.1859003083154587,1.3779430122541263,-0.48416851484401346,-0.3374158111930615,-0.3918256394405536,-0.8060614406223795,0.03248944910817899,0.040061462381576506,-0.5210107284927652,pop,6,1,6,1,recent
0.4981912173076944,0.635491016078585,0.6088868932381754,-0.6889379745662687,-0.47027098442353976,-0.3737215624774397,1.0651112704638528,0.7792809650743775,-0.7785157771674187,-1.047457724998961,pop,11,1,12,1,recent
0.1483555962028787,1.2676442626080637,1.1151135548773687,-0.32912878105430576,-0.43885253129471047,-0.3917254434801639,-0.5193236271648732,0.437890557775544,0.1132229161701286,-0.8179783102129051,pop,1,0,7,1,recent
0.4433150414481153,1.2621946656552234,1.0011549179696517,-0.058053020088653574,-0.6664118989563742,-0.3917850880282585,0.08365969419990509,-0.9959491528795577,0.037093452085894936,-0.9411499453039082,pop,7,1,7,1,recent
-0.023132453358305848,0.733583761229711,0.7067068792543372,-0.7025892718810858,-0.4348130158924324,-0.3918256394405536,-0.6905965492972092,0.9158371279939111,0.11203571205185607,-0.614367722150734,pop,1,1,3,1,recent
0.1483555962028787,1.2022490991739798,0.47187304077109393,0.18572014624736477,-0.4366083560712226,-0.3918256394405536,-0.3076379930687277,0.318403915220952,0.14935844152005265,-1.040106393860338,pop,8,1,7,1,recent
-1.4018963718302284,0.8589244911450388,0.6685010934702469,-0.4451648082302505,0.04409397679986597,-0.3918256394405536,-0.09595235897258207,-1.5293716642839854,-0.30823454581666354,-0.6369128958208538,pop,5,0,7,1,recent
-0.7639608274626223,1.1150555479285345,1.4487554600436034,-0.6294573219802803,-0.6448678168108912,-0.39180486920498786,-0.5129089109801415,-0.6118849446683698,0.2589522216880973,-0.31037626279480507,pop,4,0,8,1,recent
-0.4072656843753592,1.2894426504194252,1.0722967259814058,-0.5017201828202067,-0.6834676306548816,-0.39180856742498504,2.861231802188725,-0.6161523247596052,0.22478300315906224,-0.5466667104398077,pop,8,1,6,1,recent
-0.0780086292178849,0.6518398069371061,0.7462301059275338,-0.7406178858295046,-0.5407380864410569,-0.3918256394405536,-0.6354299901085168,0.33974081567712916,0.14843093830265192,0.4332870148163139,pop,2,1,6,1,recent
0.17579368413266822,1.224047486985341,0.10463639293264208,0.7122701855331641,-0.13992839152613437,-0.39180448218196484,-0.42951760057862964,1.0310563904572676,0.03813225568938319,-0.3058737771308378,pop,6,1,6,1,recent
-1.484210635619597,0.41205754101213193,0.6256842645742839,-0.5124462021389915,-0.13095169063218312,-0.3918256394405536,-0.3717851549160444,-0.7740453881353158,0.08046350253154272,-0.37400047839544814,pop,8,1,8,1,recent
0.6216626129917472,0.15047688727579592,0.7057187985875072,-0.6011796346853022,-0.6161423739502474,-0.3918256394405536,1.1741614456042915,0.7536766845269655,0.03816935581807939,-0.5578001295361632,pop,1,1,3,1,recent
-0.5581751679892016,1.1804507113626184,0.7794954883774743,-0.44321462289956237,-0.745406866823145,-0.3918256394405536,0.9496463791386828,0.7152702637058467,0.10992100471618282,-1.0160876794274654,pop,5,0,5,1,recent
